Station,S/N,"Street
街名","Street No.
街號","Building Name
大廈名稱","Building Type
樓宇類別","Final/Adjusted Risk Category
最終風險級數
(*remarks)"
TS,657,Tin Sam St,,Tin Sam Village 260-264,Domestic Building (住宅),
TS,658,Tin Sam Street,,"Tin Sam Village No 258, Dd 189, Lot 1679",Domestic Building (住宅),
TS,659,Fu Kin Street,2,Tin Sum Ambulance Depot,Insitutional Building/Others (學校/醫院/其他用途),
TS,660,Hin Keng Street,2,Tin Sum Divisional Police Station,Insitutional Building/Others (學校/醫院/其他用途),
TS,661,Fu Kin Street,2,Tin Sum Fire Station,Insitutional Building/Others (學校/醫院/其他用途),
TS,662,,,To Shek Fresh Water Pumping Station,Insitutional Building/Others (學校/醫院/其他用途),
TS,663,Mei Tin Road,1,"Tower 1 , Festival City (Phase 2)",Domestic Building (住宅),
TS,664,Mei Tin Road,1,"Tower 2 , Festival City (Phase 1)",Domestic Building (住宅),
TS,665,Mei Tin Road,1,"Tower 3 , Festival City (Phase 1)",Domestic Building (住宅),
TS,666,Mei Tin Road,1,"Tower 5 , Festival City (Phase 1)",Domestic Building (住宅),
TS,667,Sha Kok Street,,Tsang Tai Uk Playground,Insitutional Building/Others (學校/醫院/其他用途),
TS,668,Mei Tin Road,63,Tung Lo Wan Hill Road Garden - Rcp,Insitutional Building/Others (學校/醫院/其他用途),
TS,669,Mei Tin Road,63,Tung Lo Wan Hill Road Garden,Insitutional Building/Others (學校/醫院/其他用途),
TS,670,"Tung Lo Wan Village Pccw Telephone Exchange, Tung Lo Wan Village, Shatin, N.T.",,"Tung Lo Wan Village Pccw Telephone Exchange, Tung Lo Wan Village, Shatin, N.T.",Insitutional Building/Others (學校/醫院/其他用途),
TS,671,Mei Tin Road,25,"Water Fecture Pump Room , Mei Chung Court",Insitutional Building/Others (學校/醫院/其他用途),
TS,672,Tai Po Road,8006,Woodcrest Hill - Block 16,Domestic Building (住宅),
TS,673,Tai Po Road,8006,Woodcrest Hill - Lpg Store,Insitutional Building/Others (學校/醫院/其他用途),
TS,674,Lung Pak Street,1-3,World-Wide Gardens - Sewage Treatment Plant & Others,Insitutional Building/Others (學校/醫院/其他用途),
TS,675,Lung Pak Street,2-4,"World-Wide Gardens - Carpark (U閘下層(Block 1-2, 2-4 Lung Pak St)",Insitutional Building/Others (學校/醫院/其他用途),
TS,676,FUNG SHEK ST,2,WING SHING HSE (BLK A),Domestic Building (住宅),
TS,677,Hin Wo Lane,3,Hin Yiu Estate Hin Yiu House,Domestic Building (住宅),
TS,678,Che Kung Miu Road,69,Hin Keng Estate Hin Yau House (Block 5),Domestic Building (住宅),
TS,679,Che Kung Miu Road,69,Hin Keng Estate Hin Yeung House (Block 3),Domestic Building (住宅),
